Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,245,0
Session 1,position-control latency time,NAV,0,629,76.42,29.0,246,18800
Session 1,ControlTask time,ERROR,0,131,47.62,48.0,245,11666
Session 1,NavigationTask time,ERROR,0,81,10.46,0.0,13,136
Session 1,GNSS checkCallbacks time,ERROR,1,4,1.26,1.0,151,191
Session 1,GNSS checkUblox time,ERROR,1,190,39.91,16.0,167,6665
Session 1,GNSSTask time,ERROR,2,334,97.1,95.0,172,16701
Session 1,GGATask time,ERROR,6,8,7.67,8.0,9,69
Session 1,pushRawData time,ERROR,2,32,25.05,26.0,20,501
